,ascending,descending,momentum_pct,reversion_pct,spike_acc,total_num
20170501,0.4146,0.5854,0.5122,0.4878,0.7317,41
20170502,0.5059,0.4941,0.6471,0.3529,0.7059,85
20170503,0.5714,0.4286,0.4286,0.5714,0.6548,84
20170504,0.4918,0.5082,0.623,0.377,0.7623,122
20170505,0.5338,0.4662,0.5338,0.4662,0.6165,133
20170508,0.4495,0.5505,0.5872,0.4128,0.6881,109
20170509,0.4675,0.5325,0.4545,0.5455,0.5974,77
20170510,0.5227,0.4773,0.4659,0.5341,0.6477,88
20170511,0.5405,0.4595,0.5135,0.4865,0.7027,74
20170512,0.4231,0.5769,0.3462,0.6538,0.7692,52
20170515,0.4773,0.5227,0.5114,0.4886,0.7159,88
20170516,0.5614,0.4386,0.5088,0.4912,0.7018,57
20170517,0.5263,0.4737,0.4737,0.5263,0.6974,76
20170518,0.403,0.597,0.4328,0.5672,0.6269,67
20170519,0.5455,0.4545,0.4848,0.5152,0.6667,66
20170522,0.4384,0.5479,0.4384,0.5479,0.7123,73
20170523,0.52,0.48,0.4933,0.5067,0.7067,75
20170524,0.5125,0.4875,0.5375,0.4625,0.6125,80
20170525,0.538,0.462,0.5439,0.4561,0.6901,171
20170526,0.4835,0.5165,0.6264,0.3736,0.7033,91
20170529,0.4167,0.5417,0.2083,0.75,0.7083,24
20170530,0.4286,0.5714,0.5833,0.4167,0.75,84
20170531,0.4747,0.5253,0.4949,0.5051,0.7778,99
,0.5714,0.597,0.497804348,0.499786957,,83.30434783
,0.403,0.4286,0.6471,0.75,,
,,,0.2083,0.3529,,
