,total_num,spike_acc,reversion_pct,momentum_pct,ascending,descending
20170501,50,74.00%,42.00%,58.00%,58.00%,42.00%
20170502,91,71.43%,47.25%,52.75%,50.55%,49.45%
20170503,87,77.01%,40.23%,59.77%,52.87%,47.13%
20170504,95,74.74%,51.58%,48.42%,46.32%,53.68%
20170505,140,68.57%,46.43%,53.57%,42.86%,57.14%
20170508,98,62.24%,48.98%,51.02%,45.92%,54.08%
20170509,97,72.16%,45.36%,54.64%,52.58%,47.42%
20170510,80,70.00%,57.50%,42.50%,50.00%,50.00%
20170511,77,74.03%,50.65%,49.35%,48.05%,51.95%
20170512,46,84.78%,54.35%,45.65%,50.00%,50.00%
20170515,60,58.33%,50.00%,50.00%,38.33%,61.67%
20170516,69,59.42%,46.38%,52.17%,55.07%,43.48%
20170517,80,67.50%,53.75%,46.25%,41.25%,58.75%
20170518,62,59.68%,53.23%,45.16%,50.00%,48.39%
20170519,77,58.44%,48.05%,50.65%,53.25%,45.45%
20170522,64,71.88%,54.69%,43.75%,46.88%,51.56%
20170523,62,70.97%,56.45%,43.55%,41.94%,58.06%
20170524,71,77.46%,47.89%,52.11%,38.03%,61.97%
20170525,174,64.94%,48.85%,51.15%,48.28%,51.72%
20170526,88,65.91%,42.05%,57.95%,56.82%,43.18%
20170529,20,75.00%,30.00%,65.00%,45.00%,50.00%
20170530,63,73.02%,53.97%,44.44%,41.27%,57.14%
20170531,92,69.57%,44.57%,55.43%,50.00%,50.00%
,,69.61%,,,,
,,84.78%,,,,
,,58.33%,,,,
