,total_num,spike_acc,reversion_pct,momentum_pct,ascending,descending
20170501,45,66.67%,55.56%,44.44%,53.33%,46.67%
20170502,31,51.61%,74.19%,25.81%,29.03%,70.97%
20170503,41,75.61%,53.66%,46.34%,43.90%,56.10%
20170504,44,61.36%,54.55%,45.45%,45.45%,54.55%
20170505,61,73.77%,50.82%,49.18%,50.82%,49.18%
20170508,33,72.73%,72.73%,27.27%,48.48%,51.52%
20170509,39,66.67%,48.72%,51.28%,43.59%,56.41%
20170510,30,70.00%,53.33%,46.67%,56.67%,43.33%
20170511,32,78.12%,37.50%,62.50%,59.38%,40.62%
20170512,32,62.50%,43.75%,56.25%,50.00%,50.00%
20170515,25,72.00%,40.00%,60.00%,60.00%,40.00%
20170516,36,55.56%,33.33%,66.67%,33.33%,66.67%
20170517,51,78.43%,43.14%,56.86%,43.14%,56.86%
20170518,74,66.22%,50.00%,50.00%,44.59%,55.41%
20170519,40,72.50%,37.50%,62.50%,50.00%,50.00%
20170522,32,68.75%,43.75%,56.25%,43.75%,56.25%
20170523,32,71.88%,62.50%,37.50%,37.50%,62.50%
20170524,46,60.87%,45.65%,54.35%,58.70%,41.30%
20170525,29,62.07%,68.97%,31.03%,41.38%,58.62%
20170526,33,63.64%,45.45%,54.55%,54.55%,45.45%
20170529,8,87.50%,62.50%,37.50%,75.00%,25.00%
20170530,20,65.00%,45.00%,55.00%,45.00%,55.00%
20170531,31,54.84%,51.61%,48.39%,51.61%,48.39%
,36.73913043,67.75%,51.05%,48.95%,75.00%,70.97%
,,87.50%,74.19%,66.67%,29.03%,25.00%
,,51.61%,33.33%,25.81%,,
