,total_num,spike_acc,reversion_pct,momentum_pct,ascending,descending
20170501,37,75.68%,54.05%,45.95%,48.65%,51.35%
20170502,28,60.71%,64.29%,35.71%,46.43%,53.57%
20170503,59,77.97%,42.37%,57.63%,44.07%,55.93%
20170504,43,65.12%,48.84%,51.16%,37.21%,62.79%
20170505,32,62.50%,62.50%,37.50%,46.88%,53.13%
20170508,31,77.42%,41.94%,54.84%,58.06%,38.71%
20170509,37,72.97%,37.84%,62.16%,51.35%,48.65%
20170510,26,73.08%,42.31%,57.69%,61.54%,38.46%
20170511,31,67.74%,45.16%,54.84%,77.42%,22.58%
20170512,24,66.67%,37.50%,62.50%,41.67%,58.33%
20170515,39,48.72%,33.33%,66.67%,58.97%,41.03%
20170516,35,65.71%,48.57%,51.43%,54.29%,45.71%
20170517,65,66.15%,55.38%,44.62%,49.23%,50.77%
20170518,55,60.00%,58.18%,41.82%,43.64%,56.36%
20170519,29,65.52%,62.07%,37.93%,58.62%,41.38%
20170522,33,72.73%,48.48%,51.52%,39.39%,60.61%
20170523,41,82.93%,43.90%,56.10%,36.59%,63.41%
20170524,33,57.58%,45.45%,54.55%,45.45%,54.55%
20170525,27,66.67%,51.85%,48.15%,48.15%,51.85%
20170526,38,65.79%,50.00%,50.00%,71.05%,28.95%
20170529,6,66.67%,33.33%,66.67%,33.33%,66.67%
20170530,32,71.88%,37.50%,62.50%,28.13%,71.88%
20170531,24,54.17%,45.83%,54.17%,45.83%,54.17%
,,67.15%,,,,
,,82.93%,,,,
,,48.72%,,,,
