,ascending,descending,momentum_pct,reversion_pct,spike_acc,total_num
20170501,11.76%,86.27%,0.4314,0.549,0.6275,51
20170502,11.24%,88.76%,0.4944,0.5056,0.7191,89
20170503,6.98%,93.02%,0.4884,0.5116,0.686,86
20170504,12.61%,87.39%,0.4538,0.5462,0.6471,119
20170505,10.92%,89.08%,0.569,0.431,0.6034,174
20170508,8.65%,91.35%,0.5481,0.4519,0.5769,104
20170509,4.95%,94.06%,0.495,0.495,0.6733,101
20170510,13.98%,86.02%,0.5591,0.4409,0.6129,93
20170511,6.25%,93.75%,0.6,0.4,0.725,80
20170512,15.79%,84.21%,0.5,0.5,0.6447,76
20170515,8.60%,91.40%,0.4946,0.5054,0.6774,93
20170516,12.00%,88.00%,0.4133,0.5867,0.6667,75
20170517,11.11%,88.89%,0.5278,0.4722,0.6528,72
20170518,4.55%,95.45%,0.4659,0.5341,0.5909,88
20170519,15.28%,84.72%,0.5,0.5,0.7778,72
20170522,11.11%,88.89%,0.5417,0.4583,0.6111,72
20170523,11.63%,88.37%,0.5116,0.4884,0.7907,86
20170524,12.00%,88.00%,0.5467,0.4533,0.7067,75
20170525,9.09%,90.91%,0.5348,0.4652,0.6631,187
20170526,4.81%,95.19%,0.5288,0.4712,0.7308,104
20170529,3.23%,96.77%,0.4839,0.5161,0.7097,31
20170530,10.81%,87.84%,0.5,0.4865,0.7297,74
20170531,8.41%,91.59%,0.5514,0.4486,0.6729,107
,9.82%,90.00%,,,,
