,ascending,descending,momentum_pct,reversion_pct,spike_acc,total_num
20170501,87.93%,12.07%,0.5517,0.4483,0.6897,58
20170502,87.80%,12.20%,0.5285,0.4715,0.748,123
20170503,86.75%,13.25%,0.5181,0.4819,0.6627,83
20170504,92.47%,7.53%,0.5411,0.4589,0.6849,146
20170505,91.18%,8.82%,0.5706,0.4294,0.6882,170
20170508,92.38%,7.62%,0.5238,0.4762,0.6095,105
20170509,88.51%,11.49%,0.5747,0.4253,0.6782,87
20170510,84.95%,15.05%,0.4624,0.5376,0.6989,93
20170511,89.36%,10.64%,0.5638,0.4362,0.7447,94
20170512,90.00%,8.33%,0.5667,0.4167,0.65,60
20170515,86.30%,13.70%,0.5479,0.4521,0.6712,73
20170516,89.74%,10.26%,0.5513,0.4487,0.6923,78
20170517,81.33%,18.67%,0.4667,0.5333,0.68,75
20170518,94.74%,4.21%,0.5263,0.4632,0.7158,95
20170519,85.14%,14.86%,0.5405,0.4595,0.6351,74
20170522,89.04%,9.59%,0.5068,0.4795,0.7534,73
20170523,87.95%,12.05%,0.5542,0.4458,0.6747,83
20170524,87.74%,12.26%,0.4811,0.5189,0.7075,106
20170525,89.76%,10.24%,0.4518,0.5482,0.6566,166
20170526,92.47%,7.53%,0.5137,0.4863,0.6096,146
20170529,74.29%,22.86%,0.4857,0.4857,0.6286,35
20170530,91.46%,8.54%,0.5854,0.4146,0.7561,82
20170531,97.09%,2.91%,0.6019,0.3981,0.6699,103
,88.63%,11.07%,,,,
