,ascending,descending,momentum_pct,reversion_pct,spike_acc,total_num
20170501,13.51%,86.49%,0.4865,0.5135,0.8108,37
20170502,10.26%,89.74%,0.641,0.359,0.5641,39
20170503,4.92%,95.08%,0.541,0.459,0.7541,61
20170504,5.26%,94.74%,0.4386,0.5614,0.6842,57
20170505,6.38%,93.62%,0.3617,0.6383,0.7234,47
20170508,6.67%,90.00%,0.3333,0.6333,0.6,30
20170509,8.51%,89.36%,0.5957,0.383,0.6383,47
20170510,7.50%,92.50%,0.55,0.45,0.6,40
20170511,9.30%,90.70%,0.4651,0.5349,0.6744,43
20170512,5.26%,94.74%,0.5,0.5,0.6053,38
20170515,6.67%,93.33%,0.5667,0.4333,0.6333,30
20170516,9.30%,90.70%,0.5581,0.4419,0.7209,43
20170517,6.06%,92.42%,0.5152,0.4697,0.697,66
20170518,8.99%,91.01%,0.5281,0.4719,0.5955,89
20170519,13.46%,86.54%,0.4038,0.5962,0.6731,52
20170522,0.00%,100.00%,0.4231,0.5769,0.7692,26
20170523,12.50%,87.50%,0.5625,0.4375,0.75,48
20170524,10.26%,89.74%,0.5641,0.4359,0.6923,39
20170525,10.71%,89.29%,0.5357,0.4643,0.7143,28
20170526,25.00%,75.00%,0.425,0.575,0.65,40
20170529,18.18%,81.82%,0.4545,0.5455,0.7273,11
20170530,3.12%,96.88%,0.4375,0.5625,0.4688,32
20170531,11.43%,88.57%,0.6,0.4,0.5714,35
,9.27%,90.42%,,,,
