,ascending,descending,momentum_pct,reversion_pct,spike_acc,total_num
20170501,77.78%,22.22%,0.5,0.5,0.6667,36
20170502,97.78%,2.22%,0.4444,0.5556,0.5556,45
20170503,94.12%,5.88%,0.5147,0.4853,0.6765,68
20170504,94.83%,5.17%,0.569,0.431,0.6207,58
20170505,86.96%,13.04%,0.413,0.587,0.7391,46
20170508,90.70%,9.30%,0.5116,0.4884,0.6977,43
20170509,88.64%,11.36%,0.5909,0.4091,0.4318,44
20170510,82.35%,17.65%,0.5294,0.4706,0.6176,34
20170511,88.68%,9.43%,0.4151,0.566,0.5849,53
20170512,96.15%,3.85%,0.6154,0.3846,0.6923,26
20170515,94.12%,5.88%,0.6471,0.3529,0.6176,34
20170516,94.29%,5.71%,0.6286,0.3714,0.7714,35
20170517,91.67%,8.33%,0.5417,0.4583,0.6389,72
20170518,89.53%,10.47%,0.5349,0.4651,0.6047,86
20170519,97.73%,2.27%,0.5455,0.4545,0.5682,44
20170522,93.18%,6.82%,0.6136,0.3864,0.5909,44
20170523,91.43%,8.57%,0.4571,0.5429,0.3714,35
20170524,97.96%,2.04%,0.7143,0.2857,0.6531,49
20170525,92.59%,7.41%,0.5185,0.4815,0.5185,27
20170526,88.89%,11.11%,0.5556,0.4444,0.7222,36
20170529,86.67%,13.33%,0.6,0.4,0.8,15
20170530,96.15%,3.85%,0.4615,0.5385,0.6154,26
20170531,95.65%,4.35%,0.5217,0.4783,0.4348,23
,91.65%,8.27%,,,,
